magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
6.9,6,6,3,0,903,9,0,3.001,14.0,8,136.0,23.0944,94.8654
6.6,6,4,0,0,738,9,0,0.789,17.0,8,212.0,36.4725,71.1311
6.7,7,5,0,1,692,9,0,6.787,25.0,8,27.59,-13.9805,166.594
6.7,7,6,0,1,691,9,0,6.697,19.0,8,24.0,-14.0683,166.624
6.9,7,6,0,1,734,9,0,1.166,25.0,8,26.0,-14.3235,166.855
7.8,4,3,0,0,948,9,0,7.009,20.0,8,24.0,-4.9521,94.3299
7.2,3,7,0,1,799,9,0,0.958,17.0,8,177.0,53.9776,158.546
7.1,7,7,0,1,1496,0,0,0.0,0.0,5,125.6,59.6204,-153.339
6.6,3,4,0,1,673,9,0,2.413,74.0,8,10.0,18.8239,-106.934
6.7,5,6,0,1,717,9,0,0.281,22.0,8,46.0,41.9723,142.781
6.5,3,6,0,1,651,9,0,3.144,22.0,8,13.0,3.8965,126.862
6.7,8,7,1,0,1515,9,0,1.794,16.0,8,55.0,24.8036,93.6505
6.6,8,6,0,1,765,9,0,0.41,35.0,8,85.0,15.8015,-93.633
6.9,8,5,0,0,738,9,0,2.979,14.0,8,21.0,-4.1064,129.508
7.2,4,7,0,0,827,9,0,1.116,18.0,8,22.0,38.2107,72.7797
6.7,2,3,0,0,691,9,0,2.033,19.0,8,602.75,-9.1825,-71.2574
7.6,5,4,0,0,896,9,0,2.852,10.0,8,620.56,-10.0598,-71.0184
7.6,6,5,0,1,957,9,0,3.287,10.0,8,606.21,-10.5372,-70.9437
6.8,5,6,0,1,715,9,0,1.599,19.0,8,12.59,-8.8994,158.422
6.5,7,7,1,0,1018,9,0,0.0,0.0,8,11.0,38.67,20.6
6.7,5,4,0,0,702,9,0,1.444,17.0,8,12.0,31.0009,128.873
6.9,5,6,0,0,744,9,0,0.821,43.0,8,10.0,-29.5097,-72.0585
6.9,6,6,0,1,761,9,0,0.784,32.0,8,12.0,-29.5067,-72.0068
6.6,7,4,0,0,675,9,0,2.792,31.0,8,10.0,6.8431,94.648
6.8,7,7,0,1,841,9,0,0.258,41.0,8,46.0,-30.8796,-71.4519
6.5,5,7,0,0,657,9,0,1.53,21.0,8,20.0,-8.3381,124.875
7.5,8,7,1,0,1448,9,0,0.622,18.0,8,231.0,36.5244,70.3676
7.1,6,6,0,1,780,9,0,0.592,11.0,8,135.0,-14.8595,167.303
6.6,7,7,0,0,671,9,0,2.486,13.0,8,18.0,-0.6212,131.262
6.6,5,7,0,1,820,9,0,1.064,14.0,8,35.0,-31.7275,-71.3792
6.7,5,7,0,0,718,9,0,0.853,35.0,8,23.0,-31.5173,-71.804
6.5,6,7,0,0,657,9,0,0.749,62.0,8,27.0,-31.4244,-71.6876
7.0,8,7,0,0,799,9,0,0.903,13.0,8,28.41,-31.5622,-71.4262
8.3,9,8,1,1,1960,9,0,0.684,19.0,8,22.44,-31.5729,-71.6744
6.7,5,5,0,1,708,9,0,1.256,123.0,8,10.0,24.913,-109.623
6.5,0,5,0,1,650,9,0,2.045,16.0,8,6.43,-9.3293,157.877
6.6,3,5,0,1,671,9,0,1.872,20.0,8,22.0,-9.3438,158.053
7.0,9,7,0,1,762,9,0,6.278,12.0,8,48.0,-2.6286,138.528
6.9,4,7,0,1,734,9,0,0.444,39.0,8,29.0,52.376,-169.446
7.0,8,6,0,1,759,9,0,5.205,22.0,8,11.0,-10.4012,165.141
6.5,4,4,0,1,686,9,0,1.218,20.0,8,20.0,13.8672,-58.5479
6.7,4,5,0,1,691,9,0,1.529,11.0,8,12.0,-9.307,158.403
6.5,3,4,0,0,652,9,0,2.277,11.0,8,460.0,27.7375,139.725
7.8,6,3,0,1,1151,9,0,1.675,12.0,8,664.0,27.8386,140.493
6.8,5,6,0,1,762,0,0,0.0,0.0,5,72.6,56.594,-156.43
6.8,1,5,0,1,711,9,0,3.619,18.0,8,10.0,-11.1093,163.215
6.9,1,4,0,1,732,9,0,4.024,22.0,8,11.19,-11.0559,163.696
6.8,1,4,0,1,711,9,0,4.395,15.0,8,11.0,-10.8759,164.169
6.8,8,6,0,1,831,9,0,1.422,8.0,8,35.0,38.9056,142.032
7.3,8,7,1,0,1563,9,0,0.677,11.0,8,15.0,27.8087,86.0655
7.1,1,6,0,1,776,9,0,3.835,11.0,8,10.0,-7.2175,154.557
7.5,7,8,0,1,869,9,0,1.295,22.0,8,55.0,-5.4624,151.875
6.8,5,6,0,1,714,9,0,1.074,23.0,8,44.0,-5.2005,151.777
6.7,5,6,0,1,692,9,0,1.239,12.0,8,31.0,-5.375,151.771
6.7,7,7,3,0,1016,9,0,0.727,13.0,8,22.91,27.7711,86.0173
6.6,8,7,3,0,733,9,0,1.778,16.0,8,10.0,28.2244,84.8216
7.8,8,9,2,0,2820,9,0,1.857,12.0,8,8.22,28.2305,84.7314
6.5,0,5,0,1,650,9,0,3.702,42.0,8,10.0,-15.8815,-178.6
6.5,2,5,0,1,650,9,0,4.629,36.0,8,11.0,-15.4994,-173.029
7.5,6,7,0,1,872,9,0,0.666,19.0,8,41.0,-4.7294,152.562
7.0,4,6,0,0,760,9,0,1.362,12.0,8,552.06,-7.2968,122.535
6.7,5,5,0,1,714,9,0,1.925,20.0,8,23.0,39.8558,142.881
6.7,4,6,0,1,700,9,0,2.11,16.0,8,223.0,-23.1125,-66.688
6.8,1,4,0,1,711,9,0,2.019,13.0,8,219.96,-17.0309,168.52
6.5,1,4,0,1,650,9,0,4.318,61.0,8,8.0,5.9045,-82.6576
6.6,7,6,0,1,709,9,0,2.485,43.0,8,20.0,7.9401,-82.6865
6.6,1,5,0,1,670,9,0,3.246,12.0,8,23.0,-6.5108,154.46
6.6,1,3,0,0,670,9,0,2.6,9.0,8,614.0,6.1572,123.126
6.8,6,5,0,1,713,9,0,1.421,19.0,8,39.0,1.9604,126.575
6.5,5,5,0,1,652,9,0,1.549,9.0,8,35.0,2.2999,127.056
6.7,7,4,0,1,698,9,0,1.079,25.0,8,22.0,-37.6478,179.662
7.1,4,6,0,1,779,9,0,1.397,18.0,8,45.0,1.8929,126.522
