magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.0,2,0,0,552.06,-7.2968,122.535
6.7,2,0,1,23.0,39.8558,142.881
6.7,2,0,1,223.0,-23.1125,-66.688
6.8,1,0,1,219.96,-17.0309,168.52
6.5,1,0,1,8.0,5.9045,-82.6576
6.6,12,0,1,20.0,7.9401,-82.6865
6.6,12,0,1,23.0,-6.5108,154.46
6.6,12,0,0,614.0,6.1572,123.126
6.8,11,0,1,39.0,1.9604,126.575
6.5,11,0,1,35.0,2.2999,127.056
6.7,11,0,1,22.0,-37.6478,179.662
7.1,11,0,1,45.0,1.8929,126.522
6.6,11,0,1,53.19,-5.9873,148.232
7.1,11,0,1,434.0,-19.6903,-177.759
7.3,10,3,1,40.0,12.5262,-88.1225
6.7,9,0,1,130.0,13.7641,144.429
6.8,8,0,1,101.0,-14.598,-73.5714
6.9,8,0,1,13.0,0.8295,146.169
6.9,7,0,1,615.42,-19.8015,-178.4
6.5,7,0,1,20.0,37.0052,142.452
6.9,7,1,1,53.0,14.724,-92.4614
6.5,7,0,1,20.0,-6.2304,152.807
6.7,6,0,1,18.0,-14.9831,-175.51
6.9,6,0,1,8.0,-55.4703,-28.3669
7.9,6,0,1,109.0,51.8486,178.735
6.7,6,0,0,26.59,-29.9414,-177.607
6.5,6,0,0,10.0,-29.9379,-177.516
6.9,6,0,1,20.0,-29.9772,-177.725
6.9,5,0,0,6.43,40.2893,25.3889
6.5,5,0,1,10.0,7.2096,-82.3045
6.6,5,0,1,106.0,-21.4542,170.355
6.5,4,0,1,10.0,49.6388,-127.732
7.5,4,0,1,43.37,-6.7547,155.024
6.6,4,0,1,29.0,-6.6558,155.087
7.2,4,3,1,24.0,17.397,-100.972
6.6,4,0,0,10.0,-11.1284,162.052
7.4,4,0,1,39.0,-11.4633,162.051
7.6,4,0,1,22.56,-11.2701,162.148
6.6,4,0,1,135.0,11.642,-85.8779
6.5,4,0,1,20.0,-6.7878,154.95
7.1,4,0,1,60.53,-6.5858,155.048
7.7,4,3,1,22.4,-20.5709,-70.4931
6.5,4,0,0,24.07,-20.3113,-70.5756
6.9,4,0,0,28.42,-19.8927,-70.9455
8.2,4,3,1,25.0,-19.6097,-70.7691
6.7,3,0,1,20.0,-19.9807,-70.7022
6.8,3,0,1,16.441,40.8287,-125.134
6.5,3,0,1,119.0,27.4312,127.367
6.5,2,0,1,14.83,14.6682,-58.9272
6.9,2,3,0,10.0,35.9053,82.5864
6.5,2,0,1,122.0,-15.0691,167.372
6.5,2,0,1,44.26,-32.9076,-177.881
6.5,1,0,1,187.0,-13.8633,167.249
6.5,11,0,0,371.0,-17.1171,-176.545
7.7,11,0,1,10.0,-60.2738,-46.4011
6.9,11,0,1,9.97,-60.2627,-47.0621
6.6,10,0,1,27.0,-30.2921,-71.5215
7.1,10,0,1,35.0,37.1557,144.661
6.6,10,0,1,9.45,26.0913,-110.321
6.8,10,0,1,35.0,-6.4456,154.931
7.1,10,1,1,19.04,9.8796,124.117
6.6,10,3,0,40.0,35.5142,23.2523
6.7,10,0,0,573.0,53.1995,152.786
6.5,9,0,1,41.54,-30.9255,-178.323
6.8,9,1,0,12.0,27.1825,65.5052
7.1,9,0,1,40.0,-15.8385,-74.5112
7.7,9,2,0,15.0,26.951,65.5009
6.5,9,0,1,20.0,51.5573,-174.767
6.5,9,0,0,402.0,29.9377,138.833
6.5,9,0,0,112.0,-7.44,128.221
7.0,8,0,0,29.0,51.537,-175.23
6.5,8,3,1,8.2,-41.734,174.152
6.7,8,0,1,12.0,5.7732,-78.1999
6.5,7,3,1,17.0,-41.704,174.337
7.3,7,0,1,11.0,-60.857,-25.07
6.6,7,0,0,56.0,-6.029,149.706
7.3,7,0,1,385.5,-3.917,153.927
6.6,6,0,1,10.0,10.701,-42.594
6.5,6,0,1,30.0,11.763,-86.926
6.7,6,0,0,9.0,-10.004,107.236
6.7,5,0,1,624.0,52.235,151.444
8.3,5,0,1,598.1,54.892,153.221
7.4,5,0,1,173.7,-23.009,-177.232
6.8,5,0,0,602.2,18.728,145.288
6.5,4,0,1,10.0,-3.898,152.127
6.6,4,2,0,14.0,30.308,102.888
7.2,4,0,1,110.0,46.221,150.788
6.6,4,0,1,13.0,-3.214,142.542
7.7,4,3,0,80.0,28.033,61.996
6.6,4,0,1,31.0,-6.475,154.607
7.0,4,0,1,66.0,-3.517,138.476
6.5,3,0,1,28.0,-6.598,148.174
6.5,3,0,0,29.0,50.958,157.408
6.9,2,0,1,41.0,50.954,157.283
6.6,2,0,1,11.0,67.631,142.508
6.6,2,0,1,18.0,-10.994,165.741
6.9,2,0,1,145.0,1.135,-77.393
7.1,2,0,1,21.0,-10.928,166.018
6.8,2,0,1,12.0,-10.838,165.969
6.7,2,0,1,11.0,-10.997,165.655
7.0,2,0,0,8.8,-10.499,165.588
